glyph_name,ps_name,sort_design,sort_final
abrevehoi,abrevehoi,11093,11093
Abrevetilde,Abrevetilde,11094,11094
abrevetilde,abrevetilde,11095,11095
Abrevedotbelow,Abrevedotbelow,11096,11096
abrevedotbelow,abrevedotbelow,11097,11097
Edotbelow,Edotbelow,11098,11098
edotbelow,edotbelow,11099,11099
Ehoi,Ehoi,11100,11100
ehoi,ehoi,11101,11101
Etilde,Etilde,11102,11102
etilde,etilde,11103,11103
Ecircumflexacute,Ecircumflexacute,11104,11104
ecircumflexacute,ecircumflexacute,11105,11105
Ecircumflexgrave,Ecircumflexgrave,11106,11106
ecircumflexgrave,ecircumflexgrave,11107,11107
Ecircumflexhoi,Ecircumflexhoi,11108,11108
ecircumflexhoi,ecircumflexhoi,11109,11109
Ecircumflextilde,Ecircumflextilde,11110,11110
ecircumflextilde,ecircumflextilde,11111,11111
Ecircumflexdotbelow,Ecircumflexdotbelow,11112,11112
ecircumflexdotbelow,ecircumflexdotbelow,11113,11113
Ihoi,Ihoi,11114,11114
ihoi,ihoi,11115,11115
Idotbelow,Idotbelow,11116,11116
idotbelow,idotbelow,11117,11117
Odotbelow,Odotbelow,11118,11118
odotbelow,odotbelow,11119,11119
Ohoi,Ohoi,11120,11120
ohoi,ohoi,11121,11121
Ocircumflexacute,Ocircumflexacute,11122,11122
ocircumflexacute,ocircumflexacute,11123,11123
Ocircumflexgrave,Ocircumflexgrave,11124,11124
ocircumflexgrave,ocircumflexgrave,11125,11125
Ocircumflexhoi,Ocircumflexhoi,11126,11126
ocircumflexhoi,ocircumflexhoi,11127,11127
Ocircumflextilde,Ocircumflextilde,11128,11128
ocircumflextilde,ocircumflextilde,11129,11129
Ocircumflexdotbelow,Ocircumflexdotbelow,11130,11130
ocircumflexdotbelow,ocircumflexdotbelow,11131,11131
Ohornacute,Ohornacute,11132,11132
ohornacute,ohornacute,11133,11133
Ohorngrave,Ohorngrave,11134,11134
ohorngrave,ohorngrave,11135,11135
Ohornhoi,Ohornhoi,11136,11136
ohornhoi,ohornhoi,11137,11137
Ohorntilde,Ohorntilde,11138,11138
ohorntilde,ohorntilde,11139,11139
Ohorndotbelow,Ohorndotbelow,11140,11140
ohorndotbelow,ohorndotbelow,11141,11141
Udotbelow,Udotbelow,11142,11142
udotbelow,udotbelow,11143,11143
Uhoi,Uhoi,11144,11144
uhoi,uhoi,11145,11145
Uhornacute,Uhornacute,11146,11146
uhornacute,uhornacute,11147,11147
Uhorngrave,Uhorngrave,11148,11148
uhorngrave,uhorngrave,11149,11149
Uhornhoi,Uhornhoi,11150,11150
uhornhoi,uhornhoi,11151,11151
Uhorntilde,Uhorntilde,11152,11152
uhorntilde,uhorntilde,11153,11153
Uhorndotbelow,Uhorndotbelow,11154,11154
uhorndotbelow,uhorndotbelow,11155,11155
Ygrave,Ygrave,11156,11156
ygrave,ygrave,11157,11157
Ydotbelow,Ydotbelow,11158,11158
ydotbelow,ydotbelow,11159,11159
Yhoi,Yhoi,11160,11160
yhoi,yhoi,11161,11161
Ytilde,Ytilde,11162,11162
ytilde,ytilde,11163,11163
peseta,peseta,12050,12050
dong,dong,12051,12051
Euro,Euro,12052,12052
peso,peso,12053,12053
litre,litre,12058,12058
trademark,trademark,12061,12061
Omega.math,Omega.math,12062,12062
estimated,estimated,12063,12063
onethird,onethird,12064,12064
twothirds,twothirds,12065,12065
oneeighth,oneeighth,12066,12066
threeeighths,threeeighths,12067,12067
fiveeighths,fiveeighths,12068,12068
seveneighths,seveneighths,12069,12069
arrowleft,arrowleft,12070,12070
arrowup,arrowup,12071,12071
arrowright,arrowright,12072,12072
arrowdown,arrowdown,12073,12073
partialdiff,partialdiff,12074,12074
Delta.math,Delta.math,12075,12075
product,product,12076,12076
summation,summation,12077,12077
minus,minus,12078,12078
divisionslash,divisionslash,12079,12079
bulletoperator,bulletoperator,12080,12080
radical,radical,12081,12081
infinity,infinity,12082,12082
integral,integral,12083,12083
approxequal,approxequal,12084,12084
notequal,notequal,12085,12085
lessequal,lessequal,12086,12086
greaterequal,greaterequal,12087,12087
ceilingleft,ceilingleft,12088,12088
ceilingright,ceilingright,12089,12089
floorleft,floorleft,12090,12090
floorright,floorright,12091,12091
squareblack,squareblack,12092,12092
triangleblackup,triangleblackup,12093,12093
trianglewhiteup,trianglewhiteup,12094,12094
triangleblackright,triangleblackright,12095,12095
trianglewhiteright,trianglewhiteright,12096,12096
triangleblackdown,triangleblackdown,12097,12097
trianglewhitedown,trianglewhitedown,12098,12098
triangleblackleft,triangleblackleft,12099,12099
trianglewhiteleft,trianglewhiteleft,12100,12100
diamondblack,diamondblack,12101,12101
fisheye,fisheye,12102,12102
lozenge,lozenge,12103,12103
circledotted,circledotted,12104,12104
checkbox,checkbox,12105,12105
checkedbox,checkedbox,12106,12106
eighthnote,eighthnote,12107,12107
check,check,12108,12108
squareshadow,squareshadow,12109,12109
brackhalftopleft,brackhalftopleft,12110,12110
brackhalftopright,brackhalftopright,12111,12111
brackhalfbotleft,brackhalfbotleft,12112,12112
brackhalfbotright,brackhalfbotright,12113,12113
f_f,f_f,19001,19001
fi,fi,19002,19002
fl,fl,19003,19003
acutecmb.cap,acutecmb.cap,20002,20002
breveacute,breveacute,20003,20003
breveacute.cap,breveacute.cap,20004,20004
brevecmb.cap,brevecmb.cap,20005,20005
brevegrave,brevegrave,20006,20006
brevegrave.cap,brevegrave.cap,20007,20007
brevehoi,brevehoi,20008,20008
brevehoi.cap,brevehoi.cap,20009,20009
brevetilde,brevetilde,20010,20010
brevetilde.cap,brevetilde.cap,20011,20011
caron.alt,caron.alt,20012,20012
caroncmb.cap,caroncmb.cap,20013,20013
cedillacmb.cap,cedillacmb.cap,20014,20014
circumflexacute,circumflexacute,20015,20015
circumflexacute.cap,circumflexacute.cap,20016,20016
circumflexbreve,circumflexbreve,20017,20017
circumflexbreve.cap,circumflexbreve.cap,20018,20018
circumflexcmb.cap,circumflexcmb.cap,20019,20019
circumflexgrave,circumflexgrave,20020,20020
circumflexgrave.cap,circumflexgrave.cap,20021,20021
circumflexhoi,circumflexhoi,20022,20022
circumflexhoi.cap,circumflexhoi.cap,20023,20023
circumflextilde,circumflextilde,20024,20024
circumflextilde.cap,circumflextilde.cap,20025,20025
commabelowcmb.alt,commabelowcmb.alt,20030,20030
dblgravecmb.cap,dblgravecmb.cap,20031,20031
dieresisacute,dieresisacute,20032,20032
